id,name,features
74788,V**** K*** B**** P***** 4 B******,4|Cipanas|Villa|Cipanas
79644,S** 95 H**** S*******,1|Surabaya|Hotel|Surabaya
77194,B**** B*****,3|Yogyakarta|Hotel|Mergangsan
73323,S**** H**** F******** J******,3|Jakarta|Hotel|Blok M - South Jakarta
75948,T** S***** M**** by E*** G****,3|Bandung|Aparthotel|kiaracondong
83038,T**** C**** R****** B*******,3|Bali|Hotel|Denpasar
70170,S***** I** P******* H**** & R*****,0|Pariaman|Hotel|Pariaman
83182,G**** S***** A******** S****,3|Bali|Apartment|Bali
80256,O** 3*** H**** C*** I**,2|Palangkaraya|Hotel|Bundaran Besar
69633,B****** C*** & B******* H****,3|Bandung|Hotel|Bandung
76112,S**** O** 2*** H**** P********** 1,2|Tasikmalaya|Hotel|Mangkubumi
69723,H**** A**** C******,2|Bandar Lampung|Hotel|Bandar Lampung
73004,R******* R***** @ T**** W***** M*******,2|Jakarta|Hotel|Penjaringan
71213,(*** U*** H****** H**** S******,0|Medan|Hotel|Medan
84206,V**** B**** G*** T********,3|Lombok|Hotel|Gili Trawangan
72671,O** 9**** S****** G********* S******,2|Serang|Bed & breakfast|Serang
81337,T** R**** B**** S******* B***,5|Bali|Hotel|Seminyak
77560,O** 9**** I*** E*******,2|Yogyakarta|Bed & breakfast|Condong Catur
80392,K****** H**** S****** B*********,1|Banyuwangi|Hotel|Banyuwangi
82606,U** V***** B***,0|Bali|Hotel|Denpasar
73664,A*** T****** K**** K***** S******* 47 J******,0|Jakarta|Hotel|Jakarta
76030,N******* P**** S*****,3|Subang|Hotel|Kota Subang
80540,T****** G**** H****,3|Bali|Hotel|Singaraja
83886,A*** B**** I** B*******,2|Bali|Hotel|Denpasar
81407,O** 6** B*** R******* C*****,2|Bali|Hotel|badung
70334,H**** S***** B*******,0|Sulawesi|Hotel|Sulawesi
84118,A******** L***** R***** L*****,5|Lombok|Hotel|senggigi
72789,M R*** R******** By Z***,3|Tangerang|Hotel|Curug
81276,R*** R******** P*********,4|Bali|Hotel|Seminyak
81597,P**** H****,3|Bali|Hotel|Denpasar
69681,H**** A** N**** G*** l***,0|Banda Aceh|Hotel|Banda Aceh
74952,R******* @ I***** R******** C*******,2|Bekasi|Hotel|Bekasi Barat
71686,G**** Z*** L***********,4|Lubuk Linggau|Hotel|Lubuklinggau Timur
70012,H****** k***** h****,4|Labuan Bajo|Hotel|Labuan Bajo
81709,T**** A****** V*****,3|Bali|Villa|Seminyak
79096,O** 7** M******** R******** at K*******,2|Malang|Hotel|Sukun
72373,Le M** H**** T***** B***** L******,2|Bandar Lampung|Hotel|City Center
80320,I*** O**** H*******,2|Banyuwangi|Guest House|Glagah
70686,M**** H******,4|Berastagi|Resort|Berastagi
84546,O** 1*** M***** G**** H****,2|Balikpapan|Hotel|Balikpapan
