id,name,features
73491,T*** M****** S****** n*** B***** R*********,1|Jakarta|Hotel|Tanah Abang - Central Jakarta
73497,O** 9**** W**** P***** S******,2|Bogor|Hotel|Bogor
73500,(*** u*** A**** R******** S******,2|Jakarta|Hotel|Senayan - South Jakarta
73502,O** 9**** S******* M**** R********,2|Jakarta|Hotel|Kuningan
73505,N3 H**** J******,3|Jakarta|Hotel|Jakarta
73515,Z** R**** P***** B************,0|Bogor|Hotel|Bogor
73540,Q*** E****** H****,2|Jakarta|Hotel|Jakarta
73541,R******* @ G***** P****,2|Jakarta|Hotel|Jakarta
73559,R******* P*** n*** L**** M*** K***** 2,3|Jakarta|Hotel|Kemang - South Jakarta
73564,P***** L**** (****,2|Jakarta|Hostel/Backpacker accommodation|Jakarta
73574,K***** E*****,3|Jakarta|Hotel|Kemang - South Jakarta
73582,R******* @ G**** M***,2|Jakarta|Hotel|Jakarta
73585,A*** T****** K**** K***** E**** 12 J******,0|Jakarta|Hotel|Kebayoran Baru - South Jakarta
73593,T** O***** J****** A R**** H******* H**** J******,5|Jakarta|Hotel|Sudirman
73610,R******* R********,3|Jakarta|Hotel|pasar minggu
73614,S** C*** J******,0|Jakarta|Hotel|Jakarta
73647,H**** Ro & Vi B*******,3|Jakarta|Hotel|Tamansari - West Jakarta
73661,A***** H**** M***** B****,2|Jakarta|Hotel|Mangga Besar - West Jakarta
73667,W**** S***** M****** R*********,2|Jakarta|Hotel|Kuningan/Setiabudi  - South Jakarta
73675,R**** S*****,2|Jakarta|Hotel|Jakarta
73680,G**** A**** R********,2|Jakarta|Hotel|Tanah Abang - Central Jakarta
73712,R**** H****,2|Bogor|Hotel|Bogor Timur
73722,V**** H****** J******,4|Jakarta|Hotel|Harmoni / Gajah Mada / Glodok - Central Jakarta
73736,R******* at M***** B**** 2,2|Jakarta|Guest House|Jakarta
73738,Z** R**** N*** B******* HI,0|Jakarta|Hotel|Jakarta
73739,Z** R**** K******* T****,3|Jakarta|Guest House|Jakarta
73757,K****** H****,4|Jakarta|Hotel|Wahid Hasyim - Central Jakarta
73758,R******* n*** E*** T*** T**** B*** B****,2|Bogor|Hotel|Bogor Utara
73765,S***** L*** J******* A****** C******,3|Jakarta|Hotel|Tamansari - West Jakarta
73777,A*** T**** S*** M***** B**** E**** E 23 J******,0|Jakarta|Hotel|Jakarta
73789,F****** M***** B**** IV,2|Jakarta|Hotel|Tamansari - West Jakarta
73809,R******* n*** C****** W**** K******* 3,2|Jakarta|Hotel|Jakarta
73837,C*** S**** R********,2|Jakarta|Hotel|Tamansari - West Jakarta
73838,I******* H****,1|Jakarta|Hotel|Tamansari - West Jakarta
73855,O** 1** H**** S****,2|Jakarta|Hotel|Pasar Baru/Pecenongan/Juanda/Gunung Sahari - Central Jakarta
73858,T**** R********,3|Jakarta|Hotel|Jakarta
73870,O** 2** 45 R********,2|Jakarta|Hotel|Mangga Besar - West Jakarta
73871,H**** A*****,3|Jakarta|Hotel|Tamansari - West Jakarta
73874,R****** H****,3|Jakarta|Hotel|Jakarta
73877,H**** S****** D****,3|Depok|Hotel|Margonda
73882,R******* at S******** 8,2|Jakarta|Hotel|South Jakarta
73883,H**** S******,1|Jakarta|Hotel|Mangga Dua - North Jakarta
73884,R****** H**** W****,2|Jakarta|Hotel|Gambir - Central Jakarta
73895,Ra I** K*****,3|Jakarta|Hotel|Pancoran - South Jakarta
73904,M**** B*****,3|Jakarta|Hotel|Kemang - South Jakarta
73957,D**** E****** J**** J******,3|Jakarta|Hotel|Kebon Sirih
73968,I***** R*** H****,3|Jakarta|Hotel|Menteng
73975,S***** H**** D****,3|Depok|Hotel|Margonda
73991,B****** J****** J******,3|Jakarta|Hotel|Sawah Besar
73994,H*** H**** M***** D** S*****,3|Jakarta|Hotel|Mangga Dua - North Jakarta
73998,P****** H**** W**** H*****,3|Jakarta|Hotel|Wahid Hasyim - Central Jakarta
74017,H*** H****,3|Jakarta|Hotel|Sawah Besar
74019,A******** T**** M***** M******* by W****** By Z***,3|Depok|Hotel|beji
74021,F******** M******* D****,3|Depok|Hotel|Margonda
